XON|88| 86673.00| 3.23| 4870.00| 29096.01
F|90| 71643.38| 9.05| 4625.20| 18492.70
F|89| 62715.72| 6.16| 3285.10| 14859.50
F|88| 52774.31| 4.54| 2515.40| 12268.50
GTE|90| 15421.00| 1.64| 1118.82| 7759.25
GTE|89| 15111.50| 1.77| 1184.31| 7663.09
GTE|88| 15732.30| 0.32| 161.09| 6830.13
GE|90| 39315.01| 2.33| 2915.00| 16480.00
GE|89| 35211.01| 2.73| 2492.00| 15109.00
GE|88| 28285.01| 2.57| 2336.00| 13904.00
GM|90| 101781.00| 5.03| 3550.90| 32988.91
GM|89| 102813.00| 4.11| 2944.70| 30443.61
GM|88| 96371.63| 6.14| 3999.00| 29273.90
HWP|90| 8090.00  | 2.50| 644.00| 5022.00
HWP|89| 7102.00  | 2.02| 516.00| 4374.00
HWP|88| 6505.00  | 1.91| 489.00| 3982.00
IBM|90| 54217.02| 8.72| 5258.00| 38263.01
IBM|89| 51250.02| 7.81| 4789.00| 34374.01
IBM|88| 50056.01| 10.67| 6555.00| 31990.01
KM|90| 24046.00| 1.42| 582.00| 3939.00
KM|89| 22645.00| 1.21| 221.00| 3273.00
KM|88| 21303.30| 1.28| 499.10| 3233.80
LK|90| 11321.00| 6.64| 421.00| 2087.00
LK|89| 10273.00| 6.18| 408.00| 1866.00
LK|88| 9535.00| 6.10| 401.00| 1511.00
MD|90| 13146.10| 7.75| 313.00| 2969.90
MD|89| 12660.50| 6.86| 277.50| 2844.80
MD|88| 11477.60| 8.60| 345.70| 2634.60
MOB|90| 51223.02| 3.06| 1258.00| 16783.00
MOB|89| 44866.01| 3.45| 1407.00| 15239.00
MOB|88| 55960.02| 2.55| 1040.00| 14089.00
NYN|90| 12084.00| 6.26| 1276.50| 9196.50
NYN|89| 11341.50| 6.01| 1215.30| 8868.37
NYN|88| 10313.50| 5.43| 1095.30| 8348.76
JCP|90| 14740.00| 3.53| 478.00| 4340.00
JCP|89| 13747.00| 2.65| 397.00| 4051.00
JCP|88| 13451.00| 2.90| 435.00| 3812.00
PEP|90| 11485.20| 0.77| 594.80| 2508.60
PEP|89| 9290.79| 0.58| 457.80| 2059.10
PEP|88| 8056.65| 0.50| 543.69| 1837.68
MO|90| 22279.00| 1.94| 1842.00| 6823.00
MO|89| 20681.00| 1.55| 1478.00| 5655.00
MO|88| 12149.00| 1.31| 1255.00| 4737.00
P|90| 10721.00| 0.06| 35.00| 1617.00
P|89| 9786.00| 0.91| 228.00| 1724.00
P|88| 15636.00| 2.07| 418.00| 1644.00
PG|90| 17000.00| 0.47| 327.00| 5740.00
PG|89| 15439.00| 1.05| 709.00| 5704.00
PG|88| 13552.00| 0.95| 635.00| 5272.00
ROK|90| 12123.40| 2.27| 635.10| 3311.70
ROK|89| 12295.60| 2.06| 611.20| 3160.70
ROK|88| 11337.50| 2.00| 595.30| 2946.70
S|90| 48439.61| 4.35| 1649.40| 13587.60
S|89| 44281.51| 3.62| 1351.30| 12796.50
S|88| 40715.21| 3.53| 1303.30| 11543.60
TIC|90| 17459.10| 4.10| 374.40| 4594.60
TIC|89| 16046.60| 4.45| 545.80| 4505.89
TIC|88| 14434.70| 4.00| 375.20| 3752.20
WMT|90| 11909.00| 0.40| 450.09| 1690.49
WMT|89| 8451.46| 0.29| 327.47| 1277.66
WMT|88| 6400.85| 0.24| 270.77| 984.67
WX|90| 10679.00| 2.56| 738.90| 3576.60
WX|89| 10731.00| 2.21| 670.80| 3009.60
WX|88| 10700.20| 1.76| 605.30| 3234.70
